   1  0 Institutt for filosofi og førstesemesterstudier [3899846132506878747, institutt]
   2  1   Utdanning [2852079179243544991, navigationpage]
   3  2     Førstesemesterstudiet [8535938150246638171, navigationpage]
   4  3       Examen philosophicum [3254164407072226381, navigationpage]
   5  4         HF-varianten [3011639491949987684, article]
   6  4         PS-varianten [2358802204854894819, article]
   7  4         SV-varianten [6011016312983994329, article]
   8  4         JU-varianten [2358802204854894786, article]
   9  4         Mat.nat.-varianten [2358802204854894796, article]
  10  4         MO-varianten [2358802204854894810, article]
  11  4         Klage og begrunnelse ved Examen philosophicum [5677129948549420579, article]
  12  3       Examen facultatum - Akademisk skriving [9183681872200202945, article]
  13  3       Examen facultatum - Tekst og kultur [6399732005195415853, article]
  14  3       Examen facultatum - Språk og kommunikasjon [8715004365580851315, article]
  15  2     Filosofi [2819526901129085751, navigationpage]
  16  3       Studiestartdag for fagene filosofi og idéhistorie - våren 2012 [5802287408615775238, article]
  17  3       Kva er filosofi? [6533546671494507254, article]
  18  3       Emne i utval [559791602076568138, navigationpage]
  19  4         FIL222A/B - Miljøfilosofi  [1328611803345690001, article]
  20  4         FIL227 - Innføring i etikk [5250568916086501675, article]
  21  4         IDH 201- Innføring i politisk idehistorie [7644350625582350370, article]
  22  3       Årsstudium [794629421321303181, Studieprogramlister]
  23  3       Bachelorprogram [794629421321303191, Studieprogramlister]
  24  3       Masterprogram [794629421321303201, Studieprogramlister]
  25  3       Internasjonalisering [8903180872135183665, article]
  26  3       Viderutdanning i filosofi [4034011694858819158, navigationpage]
  27  4         Etter- og videreutdanning [3541647657157849775, enhet utdanning/evu]
  28  2     Idéhistorie [5671658540423696497, navigationpage]
  29  3       Studiestartdag for fagene filosofi og idéhistorie - våren 2012 [6926613631468932979, article]
  30  3       Kva er idéhistorie? [6182608962459346074, article]
  31  3       Bachelorprogram [794629421321303191, Studieprogramlister, DUPLICATE #23]
  32  3       Masterprogram [794629421321303201, Studieprogramlister, DUPLICATE #24]
  33  2     Norge som innvandringsland [1063068727898400793, navigationpage]
  34  3       NOIN623 - Unge flyktninger: eksilerfaring, sosialisering, inkludering [3109907099085110831, article]
  35  3       NOIN624 - Arbeidsmiljø på flerkulturelle arbeidsplasser [8616258901878945651, article]
  36  3       NOIN625 - Det nye Norge: asyl- og mottakssystemet [5530965562620905561, article]
  37  3       NOIN152-F - Interkulturell kommunikasjon [2538001529085915549, article]
  38  3       Praktisk informasjon [1078351336488671681, article]
  39  2     Emner [794629421321303228, Studieprogramlister]
  40  2     Undervisning på fagstudiet hausten 2012 [6395691182412101435, article]
  41  2     ### 521554823431214932 does not exist!
  42  2     Filosofi, sammenliknende politikk og økonomi [1801301838039704110, navigationpage]
  43  3       Filosofi for studenter i sammenliknende politikk [773499324398759840, article]
  44  1   Forskning [2852079179243544998, navigationpage]
  45  2     Forskningsgrupper ved FoF [8894745529705412894, navigationpage]
  46  3       Forskningsgruppe for Analytisk filosofi [2644961779223835115, navigationpage]
  47  4         Medlemmer [3523106226542506920, navigationpage]
  48  4         Målsetninger [8106819109393164144, navigationpage]
  49  4         Aktiviteter [3996290355550323456, navigationpage]
  50  4         Prosjekter [8526544220089546572, navigationpage]
  51  4         Publikasjoner [7639928055580351874, navigationpage]
  52  3       Forskningsgruppe for Antikkens filosofi [2644961779223835125, navigationpage]
  53  4         Poetry and Philosophy  [6619168604402411554, navigationpage]
  54  5           Description of the Project [8745630598108212282, article]
  55  5           Participants [5555941633103568444, navigationpage]
  56  6             charles-i.-armstrong [300935437416171938, article, RETRACTED]
  57  6             Hayden Ausland [2381655309631137654, article]
  58  6             Erlend Breidal [3379004052613282423, article]
  59  6             Cynthia Freeland [3379004052613282435, article]
  60  6             Gro Rørstadbotten [5451378099997103056, article]
  61  6             Morten Nag Opsal [2381655309631137666, article, RETRACTED]
  62  6             Kristin Sampson [5739465857654818676, article]
  63  6             Vigdis Songe-Møller [7768195359127409510, article]
  64  6             Knut Ågotnes [7041195031383240915, article]
  65  5           Publications [6619168604402411563, article]
  66  5           Contact [6290372296664971082, article]
  67  3       Forskningsgruppe for Fenomenologi og eksistensfilosofi [2644961779223835134, navigationpage]
  68  4         Medlemmer [6739064904794541972, navigationpage]
  69  4         Målsetninger [7307207835222422763, navigationpage]
  70  4         Aktiviteter [5009243611827178368, navigationpage]
  71  4         Prosjekter [6375120736569085762, navigationpage]
  72  4         Publikasjoner [3094037879855847137, navigationpage]
  73  3       Forskningsgruppe for Filosofi og retorikk  [1155354865567272702, navigationpage]
  74  4         Medlemmer [897945328964110845, navigationpage]
  75  4         Målsetninger [5973009882864006784, navigationpage]
  76  4         Aktiviteter [5690383396040280797, navigationpage]
  77  4         Prosjekter [6986360735899211895, navigationpage]
  78  5           <Infoside uten navn> [5483931321843536901, article, PRIVATE]
  79  5           ”Filosofiens rolle i allmenndanninga -  ein studie av lærebøker til examen philosophicum”  [3602374664817299407, article]
  80  4         Publikasjoner [7872913360694057115, navigationpage]
  81  3       Forskningsgruppe for Filosofi, språk og kunst  [1731837583424356306, navigationpage]
  82  4         Medlemmer [8949254226271066125, navigationpage]
  83  4         Målsetninger [2854585994975436427, navigationpage]
  84  4         Aktiviteter [9060836112226621971, navigationpage]
  85  4         Prosjekter [1453397905525045072, navigationpage]
  86  4         Publikasjoner [7872913360694057120, navigationpage]
  87  3       Forskningsgruppe for Liberalisme  [1155354865567272715, navigationpage]
  88  4         Medlemmer [4733479094733405396, navigationpage]
  89  4         Målsettinger [5704315942780671206, navigationpage]
  90  4         Aktiviteter [5704315942780671211, navigationpage]
  91  4         Prosjekter [5179328419283996465, navigationpage]
  92  4         Publikasjoner [251657640219316267, navigationpage]
  93  3       Forskningsgruppe for Miljøfilosofi [1155354865567272720, navigationpage]
  94  4         Medlemmer [1468505008017901074, navigationpage]
  95  4         Målsettinger [8074225964050566330, navigationpage]
  96  4         Aktiviteter [2517063741349906910, navigationpage]
  97  4         Prosjekter [1763149622044985474, navigationpage]
  98  4         Publikasjoner [7872913360694057125, navigationpage]
  99  3       Forskningsgruppe for Sosialfilosofi og politisk teori [2644961779223835143, navigationpage]
 100  4         Interculturalism and Diversities [3920200532980899909, article]
 101  4         Det flerkulturelle Norge [2212190529479095174, navigationpage]
 102  4         Medlemmer [3899587844689105144, navigationpage]
 103  4         Målsetninger [5446011264368893574, navigationpage]
